PRICE,LAPTOP_CONDITION,LAPTOP_BRAND,LAPTOP_MODEL,DEDICATED_GPU,GPU_GENERAL,GPU_INTEGRATED,CPU,RAM_SIZE,RAM_TYPE,SSD_SIZE,HDD_SIZE,STORAGE_SIZE,STORAGE_TYPE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,CITY,POST_YEAR,POST_MONTH
310000.0,Good Condition,HP,OMEN,NVIDIA GEFORCE RTX 2070,NeedToBeFilled,NeedToBeFilled,INTEL CORE I7 9750H,32GB,NeedToBeFilled,512GB,2000GB,NeedToBeFilled,NeedToBeFilled,17.0,144Hz,Unknown,Unknown,2021,5
57000.0,Good Condition,HP,ELITEBOOK,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,AMD RYZEN 5,16GB,NeedToBeFilled,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,1920x1080,Unknown,2024,9
64900.0,Good Condition,HP,ELITEBOOK,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,INTEL CORE I7,8GB,NeedToBeFilled,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,Unknown,Unknown,2025,4
60000.0,NeedToBeFilled,DELL,LATITUDE,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,INTEL CORE I5 8350U,8GB,NeedToBeFilled,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,15.6,60Hz,Unknown,Unknown,2024,10
81999.99,Good Condition,APPLE,MACBOOK AIR,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,INTEL CORE I5 8210Y,16GB,NeedToBeFilled,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,13.0,60Hz,Unknown,Unknown,2025,5
72000.0,NeedToBeFilled,DELL,LATITUDE,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,INTEL CORE I7 1145G7,16GB,DDR4X,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,1920x1080,Unknown,2024,8
85000.0,NeedToBeFilled,HP,ELITEBOOK,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,12TH GEN INTEL CORE I5 1245U VPRO,16GB,DDR4,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,1920x1080,Unknown,2025,8
76000.0,Good Condition,DELL,LATITUDE,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,11TH GEN INTEL CORE I5 1135G7,16GB,DDR4,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,1920x1080,Unknown,2025,8
22000.0,Good Condition,SAMSUNG,GALAXY,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,AMD E 450,4GB,NeedToBeFilled,NeedToBeFilled,500GB,NeedToBeFilled,NeedToBeFilled,12.0,60Hz,Unknown,Unknown,2025,5
65000.0,NeedToBeFilled,HP,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,AMD RYZEN 3 7320U,8GB,DDR5,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,17.3,60Hz,1920x1080,Unknown,2024,10
130000.0,Never Used (New),DELL,LATITUDE,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,INTEL CORE I5 1334U,16GB,DDR4,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,16.0,60Hz,1920x1080,Unknown,2025,7
85000.0,Never Used (New),HP,ELITEBOOK,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,AMD RYZEN 5 PRO 5650U,8GB,DDR4X,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,15.6,60Hz,1920x1080,Unknown,2025,5
118000.0,Never Used (New),DELL,INSPIRON,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,11TH GEN INTEL CORE I5 1135G7,8GB,DDR4X,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,1366x768,Unknown,2023,1
148000.0,Never Used (New),APPLE,MACBOOK AIR,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,APPLE M2,8GB,DDR5,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,13.6,60Hz,Unknown,Unknown,2025,6
275000.0,Good Condition,HP,ZBOOK,NVIDIA RTX A2000,NeedToBeFilled,NeedToBeFilled,12TH GEN INTEL CORE I9 12900H,32GB,NeedToBeFilled,1000GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,15.0,60Hz,1366x768,Unknown,2025,2
27000.0,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,INTEL CORE I5 5300U,8GB,NeedToBeFilled,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,Unknown,Unknown,2025,7
510000.0,Never Used (New),APPLE,MACBOOK PRO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,APPLE M4 PRO,24GB,NeedToBeFilled,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,16.0,60Hz,Unknown,Unknown,2025,7
115000.0,Good Condition,APPLE,MACBOOK AIR,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,APPLE M1,8GB,NeedToBeFilled,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,13.0,60Hz,Unknown,Unknown,2025,1
178000.0,NeedToBeFilled,APPLE,MACBOOK AIR,APPLE 10-CORE GPU,NeedToBeFilled,NeedToBeFilled,APPLE M2,16GB,NeedToBeFilled,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,13.6,60Hz,Unknown,Unknown,2025,7
85000.0,Good Condition,DELL,LATITUDE,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,12TH GEN INTEL CORE I5,16GB,NeedToBeFilled,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,Unknown,Unknown,2025,8
35900.0,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,8TH GEN INTEL CORE I3,8GB,NeedToBeFilled,128GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,Unknown,Unknown,2024,8
59000.0,Never Used (New),LENOVO,THINKPAD,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,INTEL CORE I5 8350U,8GB,DDR4,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,1920x1080,Unknown,2025,1
93000.0,Good Condition,ASUS,VIVOBOOK,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,AMD RYZEN 5 5600H,16GB,DDR5,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,1920x1080,Unknown,2025,8
249900.0,Never Used (New),HP,ENVY,NVIDIA GEFORCE RTX 2050,NeedToBeFilled,NeedToBeFilled,12TH GEN INTEL CORE I7 1255U,16GB,NeedToBeFilled,1000GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,15.6,60Hz,1366x768,Unknown,2024,11
28000.0,Good Condition,TOSHIBA,DYNABOOK,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,INTEL PENTIUM N3540,4GB,NeedToBeFilled,NeedToBeFilled,361GB,NeedToBeFilled,NeedToBeFilled,15.0,60Hz,Unknown,Unknown,2021,10
79000.0,NeedToBeFilled,LENOVO,THINKPAD,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,11TH GEN INTEL CORE I5,8GB,NeedToBeFilled,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,15.0,60Hz,Unknown,Unknown,2025,4
288000.0,Never Used (New),LENOVO,LEGION,NVIDIA GEFORCE RTX 2060,NeedToBeFilled,NeedToBeFilled,INTEL CORE I7 10750H,16GB,DDR4,256GB,1000GB,NeedToBeFilled,NeedToBeFilled,15.0,60Hz,Unknown,Unknown,2023,6
112000.0,Good Condition,HP,PROBOOK,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,AMD RYZEN 5 7530U,16GB,DDR4,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,15.6,60Hz,1920x1080,Unknown,2025,8
65000.0,Never Used (New),DELL,INSPIRON,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,7TH GEN INTEL CORE I3 7100U,4GB,NeedToBeFilled,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,13.3,60Hz,Unknown,Unknown,2019,2
52000.0,NeedToBeFilled,LENOVO,THINKPAD,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,8TH GEN INTEL CORE I5 8350U,8GB,NeedToBeFilled,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,13.0,60Hz,Unknown,Unknown,2024,8
89000.0,NeedToBeFilled,LENOVO,THINKPAD,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,INTEL CORE I7 1185G7,16GB,DDR4X,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,1920x1080,Unknown,2024,9
170000.0,NeedToBeFilled,DELL,LATITUDE,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,12TH GEN INTEL CORE I7 1265U,32GB,NeedToBeFilled,1000GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,Unknown,Unknown,2024,8
53000.0,Good Condition,ASUS,VIVOBOOK,NVIDIA GEFORCE GTX 950,NeedToBeFilled,NeedToBeFilled,INTEL CORE I7 4720HQ,8GB,NeedToBeFilled,128GB,500GB,NeedToBeFilled,NeedToBeFilled,17.3,60Hz,Unknown,Unknown,2025,6
125000.0,Never Used (New),HP,PAVILION,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,INTEL CORE I5 1334U,16GB,NeedToBeFilled,1000GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,15.6,60Hz,1920x1080,Unknown,2025,8
122000.0,NeedToBeFilled,MICROSOFT,SURFACE,NVIDIA GEFORCE GTX 1660 TI,NeedToBeFilled,NeedToBeFilled,10TH GEN INTEL CORE I7 1065G7,32GB,NeedToBeFilled,1000GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,15.0,60Hz,Unknown,Unknown,2025,1
59000.0,NeedToBeFilled,DELL,INSPIRON,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,11TH GEN INTEL CORE I3 1115G4,8GB,NeedToBeFilled,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,15.0,60Hz,1366x768,Unknown,2025,1
